SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CEP,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF
CANCELADA,12.395.063/0001-73,INTELLECTUAL SERVICES S.A - GESTÃO DE ATIVOS DO CONHECIMENTO,CURITIBA,8.00401e+07,23043,2013-02-19 00:00:00,2016-01-07 00:00:00,Emp. Adm. Part. - Educação,PRIVADO,SEDE,PR
CANCELADA,80.246.812/0001-50,INTERAGRO SA ALIMENTOS,CURITIBA,8.16902e+07,16179,1997-03-12 00:00:00,1998-01-16 00:00:00,Alimentos,PRIVADO,SEDE,PR
CANCELADA,62.258.884/0001-36,INTERCEMENT BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,4.578e+06,19631,2004-11-12 00:00:00,2011-08-01 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP
CANCELADA,62.258.884/0001-36,INTERCEMENT BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,4.578e+06,25992,2021-07-14 00:00:00,2026-04-27 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP
CANCELADA,12.610.116/0001-21,INTERCOSMETIC HOLDING S/A,CURITIBA,8.00401e+07,22888,2012-08-06 00:00:00,2016-01-07 00:00:00,Emp. Adm. Part. - Farmacêutico e Higiene,PRIVADO,SEDE,PR
CANCELADA,12.394.916/0001-52,INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL,CURITIBA,8.00401e+07,23086,2013-02-28 00:00:00,2016-01-07 00:00:00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SEDE,PR
ATIVO,17.314.329/0001-20,INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,SÃO PAULO,5.4779e+06,23574,2015-03-19 00:00:00,2015-03-19 00:00:00,Alimentos,PRIVADO,SEDE,SP
CANCELADA,08.936.792/0001-12,"INTERNATIONAL MEAL COMPANY HOLDINGS, SA",SÃO PAULO,4.717e+06,21890,2009-12-18 00:00:00,2010-03-26 00:00:00,Alimentos,ESTRANGEIRO HOLDING,SEDE,SP
CANCELADA,08.936.792/0001-12,"INTERNATIONAL MEAL COMPANY HOLDINGS, SA",SÃO PAULO,4.717e+06,22438,2011-03-03 00:00:00,2014-12-01 00:00:00,Alimentos,PRIVADO HOLDING,SEDE,SP
CANCELADA,05.347.060/0001-07,INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.,SÃO PAULO,4.696e+06,26387,2021-11-19 00:00:00,2024-10-30 00:00:00,Farmacêutico e Higiene,PRIVADO,SEDE,SP
CANCELADA,42.461.046/0001-58,INVESPAR SA,RIO DE JANEIRO,2.0011e+07,7609,1983-09-08 00:00:00,1996-08-23 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,RJ
ATIVO,00.644.907/0001-93,INVESTCO S/A,MIRACEMA DO TOCANTINS,7.765e+07,18589,2000-02-04 00:00:00,2000-02-04 00:00:00,Energia Elétrica,PRIVADO,SEDE,TO
CANCELADA,46.112.488/0001-40,INVESTEC SA,SÃO PAULO,1.3108e+06,12505,1985-11-01 00:00:00,1999-05-04 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,SP
CANCELADA,02.983.657/0001-41,INVESTHOTEL S.A.,CURITIBA,8.02502e+07,18570,2000-01-31 00:00:00,2002-09-19 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,PR
