SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
CANCELADA,CONTAGEM SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.,RIO DE JANEIRO,31.594.055/0001-09,Securitização de Recebíveis,PRIVADO,RJ
CANCELADA,ATHENA SAÚDE BRASIL S.A.,SÃO PAULO,31.701.408/0001-14,Emp. Adm. Part. - Serviços médicos,PRIVADO HOLDING,SP
ATIVO,VERO S.A.,SÃO PAULO,31.748.174/0001-60,Telecomunicações,PRIVADO,SP
CANCELADA,CAEMI MINERAÇÃO E METALURGIA S.A.,RIO DE JANEIRO,31.865.728/0001-00,Emp. Adm. Part. - Metalurgia e Siderurgia,PRIVADO,RJ
CANCELADA,BANCO INDUSTRIAL DO BRASIL,SÃO PAULO,31.895.683/0001-16,Bancos,PRIVADO,SP
CANCELADA,INDS DE BEBS JOAQUIM T A F SA,SÃO JOÃO DA BARRA,31.901.382/0001-58,Bebidas e Fumo,PRIVADO,RJ
CANCELADA,FILADÉLFIA SECURITIZADORA S/A.,SÃO PAULO,31.907.982/0001-23,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,SLOT URBANISMO S.A.,JUIZ DE FORA,31.910.308/0001-06,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,MG
CANCELADA,SENDAS S/A,SÃO JOÃO DE MERITI,31.911.548/0001-17,Comércio (Atacado e Varejo),PRIVADO,RJ
CANCELADA,CITI CP MERCANTIL SA,SÃO PAULO,31.918.584/0001-02,Serviços Diversos,PRIVADO,SP
CANCELADA,CMA PARTICIPAÇÕES SA,SÃO PAULO,31.959.356/0001-80,Emp. Adm. Participações,PRIVADO HOLDING,SP
ATIVO,ORIGEM ENERGIA S.A.,RIO DE JANEIRO,32.021.201/0001-61,Petróleo e Gás,PRIVADO,RJ
CANCELADA,PREDILETO ALIMENTOS SA,CANOAS,32.110.314/0001-33,Alimentos,PRIVADO,RS
ATIVO,CONCESSIONÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.,PORTO ALEGRE,32.161.500/0001-00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,RS
CANCELADA,TRILUX PARTICIPACOES SA,RIO DE JANEIRO,32.185.928/0001-84,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,FIGAR SA,SÃO PAULO,32.230.245/0001-00,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,SOLA SA INDS ALIMENTICIAS,TRÊS RIOS,32.286.411/0001-81,Alimentos,PRIVADO,RJ
CANCELADA,COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.,MONTE BELO,32.372.085/0001-25,Securitização de Recebíveis,PRIVADO,MG
ATIVO,HÉLIO VALGAS SOLAR PARTICIPAÇÕES S.A.,VÁRZEA DA PALMA,32.431.519/0001-10,Energia Elétrica,PRIVADO,MG
ATIVO,VIX LOGÍSTICA S/A,VITÓRIA,32.681.371/0001-72,Serviços Transporte e Logística,PRIVADO,ES
CANCELADA,COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS VERT-GYRA,SÃO PAULO,32.770.457/0001-71,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,NATURA & CO HOLDING S.A.,SÃO PAULO,32.785.497/0001-97,Farmacêutico e Higiene,PRIVADO,SP
CANCELADA,ENTALPIA PARTICIPAÇÕES S.A.,EXTREMA,32.803.503/0001-91,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",PRIVADO,MG
CANCELADA,IND BEBS ANTARCTICA MT SA,CUIABÁ,32.993.529/0001-40,Bebidas e Fumo,PRIVADO,MT
CANCELADA,CIA PROGRESSO INDUSTRIAL BRASIL FABRICA BANGU,RIO DE JANEIRO,33.000.035/0001-80,Têxtil e Vestuário,PRIVADO,RJ
CANCELADA,CIA T JANER COM IND,RIO DE JANEIRO,33.000.076/0001-76,Comércio (Atacado e Varejo),PRIVADO,RJ
CANCELADA,TELEMAR NORTE LESTE SA,RIO DE JANEIRO,33.000.118/0001-79,Telecomunicações,PRIVADO,RJ
ATIVO,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,RIO DE JANEIRO,33.000.167/0001-01,Petróleo e Gás,ESTATAL HOLDING,RJ
CANCELADA,SPERRY SA,RIO DE JANEIRO,33.000.522/0001-42,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,RJ
CANCELADA,SA WHITE MARTINS,RIO DE JANEIRO,33.000.571/0001-85,Emp. Adm. Participações,ESTRANGEIRO,RJ
CANCELADA,LOJAS BRASILEIRAS SA LOBRAS,SÃO PAULO,33.005.703/0001-61,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,NOVA AMERICA SA,DUQUE DE CAXIAS,33.007.592/0001-22,Têxtil e Vestuário,PRIVADO,RJ
CANCELADA,SOUZA CRUZ SA,RIO DE JANEIRO,33.009.911/0001-39,Bebidas e Fumo,ESTRANGEIRO,RJ
CANCELADA,SANTISTA ALIMENTOS SA,SÃO PAULO,33.009.960/0001-71,Alimentos,PRIVADO HOLDING,SP
CANCELADA,MASSA FALIDA DA MULLER IND E COMERCIO,RIO DE JANEIRO,33.010.760/0001-39,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,RJ
CANCELADA,FISCHER SA COM IND AGRICULTURA,RIO DE JANEIRO,33.010.786/0001-87,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,LOJAS AMERICANAS SA,RIO DE JANEIRO,33.014.556/0001-96,Comércio (Atacado e Varejo),PRIVADO,RJ
CANCELADA,MASSA FALIDA DE SAM INDUSTRIAS SA,NOVA IGUAÇU,33.017.039/0001-70,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,RJ
CANCELADA,APOLO PRODUTOS DE ACO SA,RIO DE JANEIRO,33.017.088/0001-03,Metalurgia e Siderurgia,PRIVADO,RJ
CANCELADA,CASA JOSE SILVA CONFECCOES SA,RIO DE JANEIRO,33.024.860/0001-14,Comércio (Atacado e Varejo),PRIVADO,RJ
CANCELADA,NUTRICIA SA PRODS DIETS NUTLS,RIO DE JANEIRO,33.031.782/0001-85,Alimentos,PRIVADO,RJ
CANCELADA,SANO SA INDUSTRIA E COMERCIO,RIO DE JANEIRO,33.033.960/0001-07,Extração Mineral,PRIVADO,RJ
CANCELADA,METALFLEX SA IND E COMERCIO,RIO DE JANEIRO,33.034.323/0001-55,Metalurgia e Siderurgia,PRIVADO,RJ
CANCELADA,VOTEC TAXI AEREO SA,RIO DE JANEIRO,33.034.794/0001-63,Serviços Transporte e Logística,PRIVADO,RJ
CANCELADA,METALGRAFICA RIO INDL SA,RIO DE JANEIRO,33.034.828/0001-10,Metalurgia e Siderurgia,PRIVADO,RJ
CANCELADA,CIA CONSTRUTORA PEDERNEIRAS,RIO DE JANEIRO,33.034.901/0001-53,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
ATIVO,JOAO FORTES ENGENHARIA SA - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,33.035.536/0001-00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,CIA SALINAS PERYNAS,RIO DE JANEIRO,33.035.759/0001-69,Extração Mineral,PRIVADO,RJ
CANCELADA,QUIMIO PRODS QUIMICOS CI SA,RIO DE JANEIRO,33.036.328/0001-17,Petroquímicos e Borracha,ESTRANGEIRO,RJ
CANCELADA,AEROFOTO CRUZEIRO SA,RIO DE JANEIRO,33.037.169/0001-75,Serviços Diversos,PRIVADO,RJ
CANCELADA,LIVRARIA JOSE OLYMPIO EDITORA,RIO DE JANEIRO,33.038.696/0001-02,Gráficas e Editoras,PRIVADO,RJ
CANCELADA,CIMENTO TUPI SA,RIO DE JANEIRO,33.039.223/0001-11,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,WESTINGHOUSE DO BRASIL SA,SÃO PAULO,33.039.322/0001-01,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,SP
CANCELADA,SA ENGEFUSA,RIO DE JANEIRO,33.040.437/0001-08,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,"MERCANTIL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",NOVA LIMA,33.040.601/0001-87,Bancos,PRIVADO,MG
CANCELADA,SUL AMERICA CAPITALIZACAO S.A.,RIO DE JANEIRO,33.040.924/0001-70,Seguradoras e Corretoras,PRIVADO,RJ
CANCELADA,SUL AMERICA CIA NACL SEGUROS,RIO DE JANEIRO,33.041.062/0001-09,Seguradoras e Corretoras,PRIVADO,RJ
CANCELADA,CIA INDUSTRIAL DOX,SÃO PAULO,33.041.120/0001-96,Metalurgia e Siderurgia,PRIVADO,SP
ATIVO,GRUPO CASAS BAHIA S.A.,SÃO PAULO,33.041.260/0652-90,Comércio (Atacado e Varejo),PRIVADO,SP
ATIVO,CIA SIDERURGICA NACIONAL,SÃO PAULO,33.042.730/0001-04,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,MUNDIAL ARTEFATOS DE COURO SA,RIO DE JANEIRO,33.042.961/0001-18,Têxtil e Vestuário,PRIVADO,RJ
ATIVO,AMPLA ENERGIA E SERVIÇOS S.A.,RIO DE JANEIRO,33.050.071/0001-58,Energia Elétrica,ESTRANGEIRO,RJ
ATIVO,COMPANHIA PAULISTA DE FORCA LUZ - CPFL,CAMPINAS,33.050.196/0001-88,Energia Elétrica,PRIVADO,SP
CANCELADA,CBV INDUSTRIA MECANICA SA,RIO DE JANEIRO,33.051.186/0001-67,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,RJ
CANCELADA,CBEI CIA BRASILEIRA ENGENHARIA E INDUSTRIA,RIO DE JANEIRO,33.053.729/0001-85,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,AGGS INDS GRAFICAS SA,RIO DE JANEIRO,33.058.793/0001-59,Gráficas e Editoras,PRIVADO,RJ
CANCELADA,MOTORISTA UNIAO COML IMPORT SA,RIO DE JANEIRO,33.063.611/0001-38,Petróleo e Gás,PRIVADO,RJ
CANCELADA,FABRIMAR SA IND E COMERCIO,RIO DE JANEIRO,33.064.262/0001-79,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,VULCAN MATERIAL PLASTICO SA,RIO DE JANEIRO,33.066.952/0001-67,Petroquímicos e Borracha,ESTRANGEIRO,RJ
CANCELADA,ERICSSON TELECOMUNICACOES SA,SÃO PAULO,33.067.745/0001-27,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO HOLDING,SP
CANCELADA,MOTORTEC INDUSTRIA AERONÁUTICA S.A.,RIO DE JANEIRO,33.069.691/0001-39,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,RJ
CANCELADA,CIA. BRAS PETRÓLEO IPIRANGA,RIO DE JANEIRO,33.069.766/0001-81,Petróleo e Gás,PRIVADO,RJ
CANCELADA,CIA AMERICA SUL CFI,SÃO PAULO,33.074.691/0001-27,Bancos,PRIVADO,SP
CANCELADA,COMERCIO E INDUSTRIA INDUCO SA,SÃO PAULO,33.078.262/0001-28,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,PINA INTERC COML INDL PESCA SA,BELÉM,33.078.585/0001-11,Pesca,PRIVADO,PA
CANCELADA,SOTREQ SA TRATORES E EQUIPS,RIO DE JANEIRO,33.081.712/0001-31,Comércio (Atacado e Varejo),PRIVADO,RJ
CANCELADA,MESBLA SA,RIO DE JANEIRO,33.087.156/0001-00,Comércio (Atacado e Varejo),PRIVADO,RJ
CANCELADA,CIA NACIONAL DE ALCALIS,MACAU,33.098.112/0001-86,Petroquímicos e Borracha,PRIVADO,RN
CANCELADA,BANCO FININVEST SA,RIO DE JANEIRO,33.098.518/0001-69,Bancos,PRIVADO,RJ
CANCELADA,MONTEIRO ARANHA SA,RIO DE JANEIRO,33.102.476/0001-92,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,RJ
CANCELADA,LORENTZEN EMPREENDIMENTOS SA,RIO DE JANEIRO,33.107.533/0001-26,Emp. Adm. Participações,PRIVADO,RJ
ATIVO,VALID SOLUÇÕES S.A.,SOROCABA,33.113.309/0001-47,Comunicação e Informática,PRIVADO,SP
CANCELADA,IMPERIO LISAMAR SA IND E COM,RIO DE JANEIRO,33.123.118/0001-66,Alimentos,PRIVADO,RJ
CANCELADA,WILSON SONS S.A.,RIO DE JANEIRO,33.130.691/0001-05,Emp. Adm. Part. - Serviços Transporte e Logística,ESTRANGEIRO HOLDING,RJ
CANCELADA,BCO CEDULA SA,RIO DE JANEIRO,33.132.044/0001-24,Bancos,PRIVADO,RJ
CANCELADA,SA CORTUME CARIOCA,RIO DE JANEIRO,33.132.275/0001-38,Têxtil e Vestuário,ESTRANGEIRO,RJ
CANCELADA,BRB CRED FINANC E INVEST SA,RIO DE JANEIRO,33.136.888/0001-43,Bancos,PRIVADO,RJ
CANCELADA,GEOTECNICA SA,RIO DE JANEIRO,33.143.025/0001-01,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,ENGEVIX ENGENHARIA SA,SÃO PAULO,33.144.940/0001-03,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,SISAL IMOB SANTO AFONSO SA,SALVADOR,33.146.762/0001-50,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,BA
CANCELADA,BANCO BRADESCO BERJ S.A.,RIO DE JANEIRO,33.147.315/0001-15,Bancos,PRIVADO,RJ
CANCELADA,CIA SERVICOS ENGA SERVIENGE,RIO DE JANEIRO,33.158.031/0001-24,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,CIA CIMENTO PORTL PARAISO,SÃO PAULO,33.160.318/0001-99,Extração Mineral,PRIVADO,SP
CANCELADA,FB EMPREENDIMENTOS SA,SÃO PAULO,33.160.839/0001-46,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,SP
CANCELADA,SERGEN SERVS GERAIS DE ENG SA,RIO DE JANEIRO,33.161.340/0001-53,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,CIA INDL SAO PAULO RIO CISPER,RIO DE JANEIRO,33.174.145/0001-68,Extração Mineral,ESTRANGEIRO,RJ
CANCELADA,BRASILJUTA SA FIACAO TEC JUTA,MANAUS,33.177.734/0001-08,Têxtil e Vestuário,PRIVADO,RJ
CANCELADA,MICROLAB SA,RIO DE JANEIRO,33.183.526/0001-03,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,RJ
ATIVO,HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,33.200.049/0001-47,Hospedagem e Turismo,PRIVADO,RJ
CANCELADA,BRASIL OITICICA S/A,FORTALEZA,33.206.475/0001-98,Alimentos,PRIVADO,CE
CANCELADA,EMP BRAS SOLDA ELETRICA SA,RIO DE JANEIRO,33.220.880/0001-60,Metalurgia e Siderurgia,ESTATAL,RJ
CANCELADA,NACIONAL SA SOC CRED FIN INVS,RIO DE JANEIRO,33.222.225/0001-41,Bancos,PRIVADO,RJ
CANCELADA,BCO NACIONAL INVS SA,RIO DE JANEIRO,33.222.241/0001-34,Bancos,PRIVADO,RJ
ATIVO,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,RIO DE JANEIRO,33.228.024/0001-51,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",PRIVADO,RJ
ATIVO,ULTRAPAR PARTICIPAÇÕES SA,SÃO PAULO,33.256.439/0001-39,Emp. Adm. Part. - Petróleo e Gás,PRIVADO,SP
CANCELADA,CASAS DA BANHA COMERCIO E INDUSTRIA SA,RIO DE JANEIRO,33.256.918/0001-55,Comércio (Atacado e Varejo),PRIVADO,RJ
CANCELADA,CRUZEIRO DO SUL SA SERV AEREOS,RIO DE JANEIRO,33.258.518/0001-89,Serviços Transporte e Logística,PRIVADO,RJ
CANCELADA,ECISA ENG COM E INDUSTRIA SA,RIO DE JANEIRO,33.261.561/0001-01,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,CONST PRESIDENTE SA,RIO DE JANEIRO,33.265.695/0001-92,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,EDITORA DE GUIAS LTB SA,RIO DE JANEIRO,33.270.240/0001-65,Gráficas e Editoras,PRIVADO,RJ
CANCELADA,GETEC GUANABARA QUIM INDL SA,SÃO GONÇALO,33.311.366/0001-30,Petroquímicos e Borracha,PRIVADO,RJ
CANCELADA,SERTEP SA ENG. E MONTAGEM,RIO DE JANEIRO,33.315.367/0001-53,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,CIA BRAS MATERIAIS COBRACO,SÃO PAULO,33.316.100/0001-80,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,ASBERIT SA,RIO DE JANEIRO,33.319.617/0001-23,Outras Atividades Industriais,PRIVADO,RJ
CANCELADA,BORGHOFF SA,SÃO PAULO,33.323.742/0001-07,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,JORNAL DO BRASIL SA,RIO DE JANEIRO,33.330.564/0001-41,Gráficas e Editoras,PRIVADO,RJ
CANCELADA,BANCO CACIQUE SA,SÃO PAULO,33.349.358/0001-83,Bancos,PRIVADO,SP
ATIVO,CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,RIO DE JANEIRO,33.352.394/0001-04,"Saneamento, Serv. Água e Gás",ESTATAL,RJ
CANCELADA,CIA CERVEJARIA BRAHMA,SÃO PAULO,33.366.980/0001-08,Bebidas e Fumo,PRIVADO,SP
ATIVO,IRB - BRASIL RESSEGUROS S.A.,RIO DE JANEIRO,33.376.989/0001-91,Seguradoras e Corretoras,PRIVADO,RJ
ATIVO,SONDOTECNICA ENGENHARIA SOLOS S.A.,RIO DE JANEIRO,33.386.210/0001-19,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,DATAMEC SA SIST PROC DE DADOS,RIO DE JANEIRO,33.387.382/0001-07,Comunicação e Informática,ESTATAL,RJ
CANCELADA,DOVA SA,RIO DE JANEIRO,33.387.549/0001-30,Metalurgia e Siderurgia,PRIVADO,RJ
CANCELADA,ARCELORMITTAL INOX BRASIL S.A.,BELO HORIZONTE,33.390.170/0001-89,Metalurgia e Siderurgia,PRIVADO,MG
ATIVO,REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A. - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,33.412.081/0001-96,Petróleo e Gás,PRIVADO,RJ
CANCELADA,SATMA SUL AMERICA PARTS SA,RIO DE JANEIRO,33.429.226/0001-61,Seguradoras e Corretoras,PRIVADO,RJ
CANCELADA,CIA SEGUROS RIO BRANCO,CURITIBA,33.432.139/0001-63,Seguradoras e Corretoras,PRIVADO,PR
CANCELADA,DOCAS INVESTIMENTOS SA,RIO DE JANEIRO,33.433.665/0001-48,Emp. Adm. Part. - Telecomunicações,PRIVADO,RJ
CANCELADA,CIA INDL AGRIC SANTA CECILIA,RIO DE JANEIRO,33.433.822/0001-15,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO,RJ
CANCELADA,JAMYR VASCONCELLOS SA,RIO DE JANEIRO,33.438.250/0001-67,Comércio (Atacado e Varejo),PRIVADO,RJ
ATIVO,RAÍZEN S.A.,RIO DE JANEIRO,33.453.598/0001-23,Comércio (Atacado e Varejo),PRIVADO,RJ
CANCELADA,STANDARD ELETRONICA SA,RIO DE JANEIRO,33.460.635/0001-20,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,RJ
CANCELADA,CIA TELEFONES DO RJ CETEL,RIO DE JANEIRO,33.460.809/0001-55,Telecomunicações,ESTATAL,RJ
CANCELADA,TEKNO S.A. INDÚSTRIA E COMÉRCIO,GUARATINGUETÁ,33.467.572/0001-34,Emp. Adm. Part. - Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,MASSA FALIDA DE COMPANHIA TEXTIL FERREIRA GUIMARAES,RIO DE JANEIRO,33.470.022/0001-74,Têxtil e Vestuário,PRIVADO,RJ
CANCELADA,BANCO BOAVISTA INTERATLÂNTICO S.A.,OSASCO,33.485.541/0001-06,Bancos,PRIVADO,SP
CANCELADA,CIA AUXILIAR EMP MIN CAEMI,RIO DE JANEIRO,33.490.095/0001-28,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,PROSPEC SA PROSPECCAO AEROLEV,RIO DE JANEIRO,33.496.563/0001-71,Serviços Diversos,PRIVADO,RJ
CANCELADA,EMP CINEMAS SAO LUIZ SA,RIO DE JANEIRO,33.497.660/0001-89,Serviços Diversos,PRIVADO,RJ
CANCELADA,BOAVISTA SA CRED FIN E INV,RIO DE JANEIRO,33.528.720/0001-83,Bancos,PRIVADO,RJ
CANCELADA,METALON INDUSTRIAS REUNIDAS SA,RIO DE JANEIRO,33.535.246/0001-17,Metalurgia e Siderurgia,PRIVADO,RJ
CANCELADA,"BANEX S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",SÃO PAULO,33.550.104/0001-29,Intermediação Financeira,PRIVADO,SP
ATIVO,RUMO MALHA CENTRAL S.A.,SÃO PAULO,33.572.408/0001-97,Serviços Transporte e Logística,PRIVADO,SP
ATIVO,VALE S.A.,RIO DE JANEIRO,33.592.510/0001-54,Extração Mineral,PRIVADO,RJ
ATIVO,GERDAU S.A.,SÃO PAULO,33.611.500/0001-19,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,CIA AMERICA FABRIL,MAGÉ,33.615.956/0001-57,Têxtil e Vestuário,ESTATAL,RJ
CANCELADA,CIA NAVEGACAO LLOYD BRASILEIRO,RIO DE JANEIRO,33.630.120/0001-21,Serviços Transporte e Logística,ESTATAL,RJ
CANCELADA,RACIMEC INFORMATICA BRAS SA,RIO DE JANEIRO,33.643.305/0001-70,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,RJ
CANCELADA,PJBANK SECURITIZADORA S.A.,CAMPINAS,33.679.797/0001-54,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,UNIBANCO UNIAO BANCOS BRAS SA,SÃO PAULO,33.700.394/0001-40,Bancos,PRIVADO,SP
CANCELADA,UNIBANCO SISTEMAS SA,SÃO PAULO,33.783.754/0001-14,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,PETROBRAS QUÍMICA S.A.- PETROQUISA,RIO DE JANEIRO,33.795.055/0001-94,Emp. Adm. Part. - Petroquímicos e Borracha,ESTATAL HOLDING,RJ
CANCELADA,NACIONAL FACTORING SA,RIO DE JANEIRO,33.807.348/0001-44,Bancos,PRIVADO,RJ
CANCELADA,LIBRA TERMINAIS SA,RIO DE JANEIRO,33.813.452/0001-41,Serviços Transporte e Logística,PRIVADO,RJ
CANCELADA,CIMENTO MAUA SA,RIO DE JANEIRO,33.815.580/0001-24,Extração Mineral,PRIVADO,RJ
CANCELADA,ALIPAR ALIMENTOS E PARTS SA,SALVADOR,33.826.637/0001-90,Emp. Adm. Participações,PRIVADO,BA
ATIVO,VIVARA PARTICIPAÇÕES S.A.,SÃO PAULO,33.839.910/0001-11,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,HOTEIS E TURISMO GUANABARA SA,BELO HORIZONTE,33.858.168/0001-91,Hospedagem e Turismo,PRIVADO,MG
CANCELADA,BANCO ALVORADA S.A.,SALVADOR,33.870.163/0001-84,Bancos,PRIVADO,BA
ATIVO,CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO,RIO DE JANEIRO,33.938.119/0001-69,"Saneamento, Serv. Água e Gás",PRIVADO,RJ
ATIVO,UNIPAR CARBOCLORO S.A.,SÃO PAULO,33.958.695/0001-78,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,CAIXA SEGURADORA SA,BRASÍLIA,34.020.354/0001-10,Seguradoras e Corretoras,ESTRANGEIRO HOLDING,DF
CANCELADA,ABN AMRO ARRENDAMENTO MERCANTIL SA,BARUERI,34.033.779/0001-63,Arrendamento Mercantil,PRIVADO,SP
CANCELADA,CREDICARD SA ADMN CARTOES CRED,SÃO PAULO,34.098.442/0001-34,Serviços Diversos,PRIVADO,SP
CANCELADA,HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.,SÃO PAULO,34.111.187/0001-12,Arrendamento Mercantil,PRIVADO,SP
CANCELADA,CITIBANK LEASING S.A. - ARREND.MERCANTIL,SÃO PAULO,34.112.128/0001-69,Arrendamento Mercantil,PRIVADO,SP
CANCELADA,UNIBANCO LEASING S.A .-ARREND.MERCANTIL,BARUERI,34.120.899/0001-06,Arrendamento Mercantil,PRIVADO,SP
ATIVO,BANCO MERCANTIL DE INVESTIMENTOS S.A.,BELO HORIZONTE,34.169.557/0001-72,Bancos,PRIVADO,MG
CANCELADA,CIMOB PARTICIPAÇÕES SA,SÃO PAULO,34.177.279/0001-03,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SP
CANCELADA,POLIMIX CONCRETO S/A,BARUERI,34.230.979/0001-06,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,BANORTE LEASING ARRENDAMENTO MERCANTIL SA EM LIQUIDAÇÃO EXTRAJUDICIAL,RECIFE,34.260.158/0001-12,Arrendamento Mercantil,PRIVADO,PE
CANCELADA,HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN,SÃO PAULO,34.262.972/0001-76,Arrendamento Mercantil,ESTRANGEIRO,SP
CANCELADA,BMG LEASING S.A. -  ARREND. MERCANTIL,SÃO PAULO,34.265.561/0001-34,Arrendamento Mercantil,PRIVADO,SP
CANCELADA,ULTRAQUIMICA PARTICIPACOES SA,SÃO PAULO,34.266.973/0001-99,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,IBM LEASING ARREND MERC SA,RIO DE JANEIRO,34.270.520/0001-36,Arrendamento Mercantil,PRIVADO,RJ
CANCELADA,VIBRA ENERGIA S/A,RIO DE JANEIRO,34.274.233/0001-02,Comércio (Atacado e Varejo),ESTATAL,RJ
CANCELADA,COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-PROVI,SÃO PAULO,34.469.625/0001-19,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,UP ENGENHARIA E URBANISMO S.A.,ASTOLFO DUTRA,34.591.574/0001-01,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,MG
CANCELADA,BASE SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.,SÃO PAULO,35.082.277/0001-95,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,CS BRASIL PARTICIPAÇÕES E LOCAÇÕES S.A.,MOGI DAS CRUZES,35.502.310/0001-99,Serviços Transporte e Logística,PRIVADO,SP
ATIVO,CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II,SÃO PAULO,35.522.178/0001-87,Securitização de Recebíveis,PRIVADO,SP
CANCELADA,COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-VIRTUS,SÃO PAULO,35.522.281/0001-27,Securitização de Recebíveis,PRIVADO,SP
ATIVO,CONCESSIONÁRIA ECOVIAS DO CERRADO S.A.,UBERLÂNDIA,35.593.905/0001-05,Serviços Transporte e Logística,PRIVADO,MG
ATIVO,AUTOMOB PARTICIPAÇÕES S.A.,CUIABÁ,35.654.688/0001-08,Serviços Transporte e Logística,PRIVADO,MT
ATIVO,EZ INC INCORPORAÇÕES S.A.,SÃO PAULO,35.727.157/0001-06,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
