SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
CANCELADA,VERPAR CENTROS COMERCIAIS SA,SÃO PAULO,01.327.874/0001-10,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,ST MICHEL SA,CURITIBA,01.328.630/0001-52,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,PR
CANCELADA,ITA ENERGETICA S/A,SÃO PAULO,01.355.994/0001-21,Energia Elétrica,PRIVADO,SP
CANCELADA,SOLE DO BRASIL S.A. TELECOMUNICAÇÕES E COMERCIO EXTERIOR,SÃO PAULO,01.368.194/0001-45,Telecomunicações,PRIVADO,SP
CANCELADA,SERNAMBETIBA TRUST SPE SA,RIO DE JANEIRO,01.369.947/0001-37,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
CANCELADA,GAFISA SPE-1 SA,SÃO PAULO,01.376.239/0001-23,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,PORTHAL DO LAGO SA,CURITIBA,01.376.634/0001-06,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,PR
CANCELADA,BANKBOSTON COMPANHIA HIPOTECÁRIA,SÃO PAULO,01.377.222/0001-90,Bancos,PRIVADO,SP
CANCELADA,MULTIBRAS PAR SA,SÃO PAULO,01.378.557/0001-23,Serviços Diversos,PRIVADO,SP
CANCELADA,VOTORANTIM FINANCAS S/A,BARUERI,01.386.256/0001-41,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,POLIPROPILENO PARTICIPACOES S.A.,SÃO PAULO,01.391.425/0001-31,Emp. Adm. Part. - Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,PROMOAUTO PARTICIPAÇÕES SA,TAUBATÉ,01.394.549/0001-70,Emp. Adm. Participações,ESTRANGEIRO HOLDING,SP
CANCELADA,CONSPREVI SA,FLORIANÓPOLIS,01.395.591/0001-06,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SC
CANCELADA,VIVAX SA,AMERICANA,01.402.946/0001-47,Telecomunicações,PRIVADO,SP
CANCELADA,ENERGIPAR PARTICIPAÇÕES S.A.,RIO DE JANEIRO,01.414.107/0001-49,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,RJ
ATIVO,MRS LOGÍSTICA S/A,RIO DE JANEIRO,01.417.222/0001-77,Serviços Transporte e Logística,PRIVADO,RJ
CANCELADA,REDECARD S/A,BARUERI,01.425.787/0001-04,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SP
CANCELADA,REASON S.A. COML. IMPORT. E EXPORTADORA,BARUERI,01.430.815/0001-73,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,ATLÂNTICA EMPREEND.IMOBILIÁRIOS S/A,RIO DE JANEIRO,01.431.728/0001-30,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,RJ
