SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF,CATEG_REG
ATIVO,52.548.435/0001-79,JSL S.A.,SÃO PAULO,22020,2010-04-15 00:00:00,2010-04-15 00:00:00,Serviços Transporte e Logística,PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,09.414.761/0001-64,K-INFRA RODOVIA DO AÇO S.A.,VASSOURAS,22446,2011-03-29 00:00:00,2011-03-29 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,RJ,Categoria B
ATIVO,09.146.451/0001-06,KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.,SÃO PAULO,25798,2021-05-03 00:00:00,2021-05-03 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria A
ATIVO,43.283.811/0001-50,KALUNGA S.A.,SÃO PAULO,25631,2021-03-08 00:00:00,2021-03-08 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SP,Categoria A
CANCELADA,09.347.916/0001-97,KAROON PETROLEO & GAS SA,RIO DE JANEIRO,22241,2010-11-09 00:00:00,2011-06-21 00:00:00,Petróleo e Gás,PRIVADO,SEDE,RJ,Categoria A
ATIVO,82.640.558/0001-04,KARSTEN SA,BLUMENAU,4146,1971-12-29 00:00:00,1971-12-29 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,SC,Categoria A
ATIVO,91.983.056/0001-69,KEPLER WEBER SA,SÃO PAULO,7870,1980-12-15 00:00:00,1980-12-15 00:00:00,Emp. Adm. Part. - Metalurgia e Siderurgia,PRIVADO,SEDE,SP,Categoria A
ATIVO,89.637.490/0001-45,KLABIN S.A.,SÃO PAULO,12653,1997-08-06 00:00:00,1997-08-06 00:00:00,Papel e Celulose,PRIVADO,SEDE,SP,Categoria A
CANCELADA,00.187.032/0001-48,KLABIN SEGALL S/A,SÃO PAULO,20249,2006-08-14 00:00:00,2010-08-30 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria B
ATIVO,13.270.520/0001-66,KORA SAÚDE PARTICIPAÇÕES S.A.,VITÓRIA,25879,2021-05-13 00:00:00,2021-05-13 00:00:00,Serviços Médicos,PRIVADO,SEDE,ES,Categoria B
CANCELADA,00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,15083,1995-10-09 00:00:00,2022-07-12 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,SP,Categoria A
CANCELADA,61.489.514/0001-47,LABO ELETRONICA SA,SÃO CAETANO DO SUL,12688,1986-04-17 00:00:00,2010-01-04 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP,Categoria A
ATIVO,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S.A.,ANÁPOLIS,26182,2021-08-24 00:00:00,2021-08-24 00:00:00,Farmacêutico e Higiene,PRIVADO,SEDE,GO,Categoria A
CANCELADA,60.631.090/0001-40,LARK SA MAQ E EQUIPAMENTOS(Massa Falida Administrada Judicialmente p/Soc.Advogados Mandel Advocacia),SÃO PAULO,7978,1977-07-20 00:00:00,2015-06-18 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP,Categoria A
ATIVO,26.462.693/0001-28,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A,SÃO PAULO,25062,2020-08-31 00:00:00,2020-08-31 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria A
ATIVO,21.414.457/0001-12,LEADS CIA. SECURITIZADORA,SÃO PAULO,23558,2015-02-03 00:00:00,2015-02-03 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,SP,Categoria B
ATIVO,00.873.894/0001-24,LET'S RENT A CAR S.A.,ARARAQUARA,27383,2023-12-18 00:00:00,2023-12-18 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,SP,Categoria B
CANCELADA,02.390.206/0001-09,LF TEL SA,SÃO PAULO,17442,1998-07-02 00:00:00,2014-12-11 00:00:00,Emp. Adm. Part. - Telecomunicações,PRIVADO,SEDE,SP,Categoria A
CANCELADA,01.468.594/0001-22,LG INFORMÁTICA S.A.,APARECIDA DE GOIÂNIA,25666,2021-04-06 00:00:00,2022-05-12 00:00:00,Comunicação e Informática,PRIVADO,SEDE,GO,Categoria A
CANCELADA,26.173.550/0001-04,LGT HUB PARTICIPAÇÕES S/A,INDAIATUBA,24198,2017-08-28 00:00:00,2018-06-18 00:00:00,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SEDE,SP,Categoria B
CANCELADA,02.373.517/0001-51,LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,23434,2014-07-14 00:00:00,2020-05-08 00:00:00,Serviços Transporte e Logística,PRIVADO,SEDE,RJ,Categoria B
CANCELADA,04.169.411/0001-66,LIDER AVIAÇÃO HOLDING S/A,BELO HORIZONTE,21547,2008-07-14 00:00:00,2010-02-05 00:00:00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO HOLDING,SEDE,MG,Categoria B
ATIVO,02.357.251/0001-53,LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A.,PELOTAS,24872,2019-11-08 00:00:00,2019-11-08 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,RS,Categoria A
CANCELADA,02.217.325/0001-56,LIGA FUTEBOL SA,RIO DE JANEIRO,16691,1997-12-08 00:00:00,2013-01-15 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,RJ,Categoria A
ATIVO,04.368.865/0001-66,LIGGA TELECOMUNICAÇÕES S.A.,CURITIBA,27367,2023-11-14 00:00:00,2023-11-14 00:00:00,Telecomunicações,PRIVADO,SEDE,PR,Categoria B
ATIVO,01.917.818/0001-36,LIGHT ENERGIA S.A.,RIO DE JANEIRO,23000,2013-01-11 00:00:00,2013-01-11 00:00:00,Energia Elétrica,PRIVADO,SEDE,RJ,Categoria B
ATIVO,03.378.521/0001-75,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL,RIO DE JANEIRO,19879,2005-12-12 00:00:00,2005-12-12 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,RJ,Categoria A
ATIVO,60.444.437/0001-46,LIGHT SERVIÇOS DE ELETRICIDADE SA,RIO DE JANEIRO,8036,1968-11-25 00:00:00,1968-11-25 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,RJ,Categoria B
ATIVO,60.444.437/0001-46,LIGHT SERVIÇOS DE ELETRICIDADE SA,RIO DE JANEIRO,8036,1968-11-25 00:00:00,1968-11-25 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,RJ,Categoria B
ATIVO,10.234.027/0001-00,LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S.A.,CATAGUASES,23680,2015-08-12 00:00:00,2015-08-12 00:00:00,Energia Elétrica,PRIVADO,SEDE,MG,Categoria B
